app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd,fetched_at
22.6,78,0,100,0,2025-08-20:17,19.0,118,903,877,305,d,0,0.0,1002,82,1015,0,0,492.1039,22.2,2025-08-20T13:00:00,2025-08-20T17:00:00,1755709200,4,14.4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.3,6.4,2025-08-20 16:56:28.706199
22.6,81,0,100,0,2025-08-20:18,18.8,117,901,868,303,d,0,0.0,1003,81,1016,0,0,441.49005,22.2,2025-08-20T14:00:00,2025-08-20T18:00:00,1755712800,3,14.4,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.8,6.8,2025-08-20 16:56:28.706199
22.7,78,0,100,0,2025-08-20:19,18.9,114,884,802,299,d,0,0.0,1004,81,1016,0,0,450.13257,22.3,2025-08-20T15:00:00,2025-08-20T19:00:00,1755716400,3,15.0,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,10.3,6.8,2025-08-20 16:56:28.706199
22.2,78,0,100,0,2025-08-20:20,18.2,107,849,685,298,d,0,0.0,1004,80,1017,0,0,385.62732,21.8,2025-08-20T16:00:00,2025-08-20T20:00:00,1755720000,2,15.3,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,10.3,6.8,2025-08-20 16:56:28.706199
21.8,82,0,100,0,2025-08-20:21,18.1,96,791,527,295,d,0,0.0,1005,81,1017,0,0,259.18735,21.5,2025-08-20T17:00:00,2025-08-20T21:00:00,1755723600,1,15.0,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,10.1,6.8,2025-08-20 16:56:28.706199
21.3,77,0,100,0,2025-08-20:22,18.0,81,694,344,292,d,0,0.0,1005,83,1017,0,0,199.4991,21.0,2025-08-20T18:00:00,2025-08-20T22:00:00,1755727200,1,15.5,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.9,6.8,2025-08-20 16:56:28.706199
20.7,79,0,100,0,2025-08-20:23,17.5,57,516,157,291,d,0,0.0,1005,83,1017,0,0,86.0245,20.5,2025-08-20T19:00:00,2025-08-20T23:00:00,1755730800,1,15.5,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.4,6.4,2025-08-20 16:56:28.706199
19.9,87,0,100,0,2025-08-21:00,17.0,15,80,9,291,d,0,0.0,1005,85,1018,0,0,17.803661,19.6,2025-08-20T20:00:00,2025-08-21T00:00:00,1755734400,1,15.3,"{'icon': 'c04d', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.0,6.0,2025-08-20 16:56:28.706199
19.5,74,0,100,0,2025-08-21:01,16.9,0,0,0,291,n,0,0.0,1006,86,1018,0,0,0.0,19.3,2025-08-20T21:00:00,2025-08-21T01:00:00,1755738000,0,15.3,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,50,9.0,6.0,2025-08-20 16:56:28.706199
19.4,80,0,100,0,2025-08-21:02,16.6,0,0,0,291,n,0,0.0,1006,85,1018,0,0,0.0,19.2,2025-08-20T22:00:00,2025-08-21T02:00:00,1755741600,0,15.4,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,40,8.9,5.6,2025-08-20 16:56:28.706199
19.0,73,0,92,0,2025-08-21:03,16.1,0,0,0,291,n,0,0.0,1006,84,1018,0,0,0.0,18.9,2025-08-20T23:00:00,2025-08-21T03:00:00,1755745200,0,15.2,"{'icon': 'c04n', 'description': 'Overcast clouds', 'code': 804}",NE,northeast,40,8.6,5.6,2025-08-20 16:56:28.706199
18.8,69,0,83,0,2025-08-21:04,16.0,0,0,0,290,n,0,0.0,1006,85,1018,0,0,0.0,18.6,2025-08-21T00:00:00,2025-08-21T04:00:00,1755748800,0,15.2,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.5,5.6,2025-08-20 16:56:28.706199
18.3,66,0,71,0,2025-08-21:05,15.9,0,0,0,289,n,0,0.0,1005,86,1018,0,0,0.0,18.3,2025-08-21T01:00:00,2025-08-21T05:00:00,1755752400,0,15.8,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.1,5.2,2025-08-20 16:56:28.706199
18.0,66,0,100,0,2025-08-21:06,15.8,0,0,0,288,n,0,0.0,1005,87,1018,0,0,0.0,18.0,2025-08-21T02:00:00,2025-08-21T06:00:00,1755756000,0,16.1,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.1,5.2,2025-08-20 16:56:28.706199
17.9,64,0,100,0,2025-08-21:07,16.1,0,0,0,288,n,0,0.0,1005,89,1018,0,0,0.0,17.9,2025-08-21T03:00:00,2025-08-21T07:00:00,1755759600,0,16.0,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.0,5.2,2025-08-20 16:56:28.706199
17.5,70,0,72,0,2025-08-21:08,15.8,0,0,0,287,n,0,0.0,1005,90,1018,0,0,0.0,17.5,2025-08-21T04:00:00,2025-08-21T08:00:00,1755763200,0,15.0,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.0,5.2,2025-08-20 16:56:28.706199
17.2,67,61,100,0,2025-08-21:09,15.7,0,0,0,287,n,0,0.0,1005,91,1018,0,0,0.0,17.2,2025-08-21T05:00:00,2025-08-21T09:00:00,1755766800,0,14.9,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NNE,north-northeast,30,7.7,5.2,2025-08-20 16:56:28.706199
16.9,63,0,100,0,2025-08-21:10,15.6,0,0,0,287,n,0,0.0,1005,92,1018,0,0,0.0,16.9,2025-08-21T06:00:00,2025-08-21T10:00:00,1755770400,0,15.6,"{'icon': 'c03n', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.0,5.2,2025-08-20 16:56:28.706199
16.8,54,0,100,0,2025-08-21:11,15.5,32,265,43,288,d,0,0.0,1006,92,1018,0,0,36.697876,16.8,2025-08-21T07:00:00,2025-08-21T11:00:00,1755774000,1,16.1,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",NNE,north-northeast,30,8.1,5.2,2025-08-20 16:56:28.706199
18.0,57,0,43,0,2025-08-21:12,16.0,65,583,212,287,d,0,0.0,1007,88,1019,0,0,174.14557,18.1,2025-08-21T08:00:00,2025-08-21T12:00:00,1755777600,1,16.5,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,7.8,5.2,2025-08-20 16:56:28.706199
19.2,56,0,88,0,2025-08-21:13,16.1,86,728,400,286,d,0,0.0,1007,83,1019,0,0,332.0076,19.1,2025-08-21T09:00:00,2025-08-21T13:00:00,1755781200,2,18.0,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,8.1,5.2,2025-08-20 16:56:28.706199
20.5,57,0,100,0,2025-08-21:14,16.6,100,811,577,287,d,0,0.0,1006,79,1019,0,0,473.87778,20.3,2025-08-21T10:00:00,2025-08-21T14:00:00,1755784800,2,18.8,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",NE,northeast,40,7.8,5.6,2025-08-20 16:56:28.706199
21.3,51,0,82,0,2025-08-21:15,16.6,109,862,723,288,d,0,0.0,1006,75,1019,0,0,624.59607,21.2,2025-08-21T11:00:00,2025-08-21T15:00:00,1755788400,4,20.5,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",NE,northeast,50,7.9,5.6,2025-08-20 16:56:28.706199
22.4,51,0,53,0,2025-08-21:16,17.0,115,890,825,287,d,0,0.0,1006,72,1018,0,0,711.98627,22.3,2025-08-21T12:00:00,2025-08-21T16:00:00,1755792000,5,21.7,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",ENE,east-northeast,60,7.6,5.6,2025-08-20 16:56:28.706199
23.1,48,0,23,0,2025-08-21:17,16.9,118,902,874,288,d,0,0.0,1006,69,1018,0,0,768.87787,22.9,2025-08-21T13:00:00,2025-08-21T17:00:00,1755795600,5,22.0,"{'icon': 'c03d', 'description': 'Broken clouds', 'code': 803}",ENE,east-northeast,70,7.6,5.6,2025-08-20 16:56:28.706199
23.6,28,0,23,0,2025-08-21:18,17.0,117,900,865,289,d,0,0.0,1005,67,1017,0,0,814.4197,23.5,2025-08-21T14:00:00,2025-08-21T18:00:00,1755799200,6,20.7,"{'icon': 'c02d', 'description': 'Scattered clouds', 'code': 802}",E,east,80,7.6,5.2,2025-08-20 16:56:28.706199
